"","feat","train","validation"
"Accuracy",1,0.844807153630683,0.844848484848485
"Accuracy1",2,0.787357250592545,0.780444444444444
"Accuracy2",3,0.843514328808446,0.84379797979798
"Accuracy3",4,0.844564748976514,0.845252525252525
"Accuracy4",5,0.845722904546434,0.841212121212121
"Accuracy5",6,0.771951088127559,0.767757575757576
"Accuracy6",7,0.844079939668175,0.84210101010101
"Accuracy7",8,0.846234647705236,0.840565656565657
"Accuracy8",9,0.849789915966387,0.847272727272727
"Accuracy9",10,0.846503986209869,0.839272727272727
"Accuracy10",11,0.844807153630683,0.84040404040404
"Accuracy11",12,0.846261581555699,0.84210101010101
"Accuracy12",13,0.797107304460246,0.799191919191919
"Accuracy13",14,0.85237556561086,0.845414141414141
"Accuracy14",15,0.810708898944193,0.806707070707071
"Accuracy15",16,0.849170437405732,0.843717171717172
"Accuracy16",17,0.751185089420384,0.751838383838384
"Accuracy17",18,0.844349278172808,0.844929292929293
"Accuracy18",19,0.778711484593838,0.77430303030303
"Accuracy19",20,0.843002585649644,0.843313131313131
"Accuracy20",21,0.844403145873734,0.845010101010101
"Accuracy21",22,0.84205990088343,0.842666666666667
"Accuracy22",23,0.752181641887524,0.749656565656566
"Accuracy23",24,0.772112691230338,0.769292929292929
"Accuracy24",25,0.848093083387201,0.846787878787879
"Accuracy25",26,0.845642102995044,0.842585858585859
"Accuracy26",27,0.846719457013575,0.841535353535354
"Accuracy27",28,0.842625511743159,0.842585858585859
"Accuracy28",29,0.849520577461754,0.840727272727273
"Accuracy29",30,0.787572721396251,0.78359595959596
"Accuracy30",31,0.7676686059039,0.762989898989899
"Accuracy31",32,0.847312001723766,0.843717171717172
"Accuracy32",33,0.847285067873303,0.84169696969697
"Accuracy33",34,0.847662141779789,0.835717171717172
"Accuracy34",35,0.802143934496876,0.805090909090909
"Accuracy35",36,0.845561301443654,0.842181818181818
"Accuracy36",37,0.843783667313079,0.843959595959596
"Accuracy37",38,0.846369316957552,0.842343434343434
"Accuracy38",39,0.792636285283344,0.789737373737374
"Accuracy39",40,0.853345184227537,0.844040404040404
"Accuracy40",41,0.844807153630683,0.845737373737374
"Accuracy41",42,0.845049558284852,0.838868686868687
"Accuracy42",43,0.801793794440853,0.797414141414141
"Accuracy43",44,0.844106873518638,0.842909090909091
"Accuracy44",45,0.78417905623788,0.781010101010101
"Accuracy45",46,0.844187675070028,0.842585858585859
"Accuracy46",47,0.799342814048696,0.79159595959596
"Accuracy47",48,0.848443223443223,0.845090909090909
"Accuracy48",49,0.845103425985779,0.842585858585859
"Accuracy49",50,0.843999138116785,0.842424242424242
"Accuracy50",51,0.810277957336781,0.803717171717172
"Accuracy51",52,0.846611721611722,0.841212121212121
"Accuracy52",53,0.845669036845507,0.840161616161616
"Accuracy53",54,0.844133807369101,0.842181818181818
"Accuracy54",55,0.850274725274725,0.842909090909091
"Accuracy55",56,0.848281620340444,0.838868686868687
"Accuracy56",57,0.846180780004309,0.840565656565657
"Accuracy57",58,0.774536737772032,0.774383838383838
"Accuracy58",59,0.793228829993536,0.787232323232323
"Accuracy59",60,0.804190907132084,0.801535353535354
"Accuracy60",61,0.793902176255117,0.793777777777778
"Accuracy61",62,0.845507433742728,0.843717171717172
"Accuracy62",63,0.847150398620987,0.845979797979798
"Accuracy63",64,0.847554406377936,0.847434343434343
"Accuracy64",65,0.845615169144581,0.840484848484849
"Accuracy65",66,0.847312001723766,0.844929292929293
"Accuracy66",67,0.77642210730446,0.775111111111111
"Accuracy67",68,0.845238095238095,0.842262626262626
"Accuracy68",69,0.789565826330532,0.789252525252525
"Accuracy69",70,0.847985347985348,0.847030303030303
